zcr,rms,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Language,StoryType
0.05761939887515999,0.004474218,3871.7759244608155,4925.601052349378,-605.13245,114.06797,34.237747,26.508791,14.176401,-0.83241576,-0.24442287,1.9840821,3.5147812,1.4265852,0.8366943,5.7564993,2.3727574,Chinese,1
0.05737290215619443,0.050869063,2466.626104673189,2887.831332102016,-316.85068,136.82022,-7.2979655,39.13258,11.583094,-1.9672576,-9.382646,14.613569,-4.956619,-15.802443,1.3262029,-11.035066,-4.753993,Chinese,1
0.0509669178681255,0.075361,1714.9945424947728,1735.6724420408905,-326.6851,159.83156,-26.623924,19.214945,21.553696,-6.1980205,13.534205,-0.23768003,2.2649033,8.9457445,-17.445728,-3.3220415,12.965129,Chinese,1
0.058101396803083155,0.041537054,1781.0599157444062,1746.9078095101927,-397.98654,135.06212,7.8529277,33.18321,20.20768,-1.4229982,4.8678327,-3.5206773,0.9069164,-0.7169413,-5.4361606,-1.6209475,-7.769153,Chinese,1
0.05050835095551379,0.0047806404,3918.6464254097114,4983.818961595394,-547.35046,114.922195,20.684639,28.967375,14.184715,12.734907,9.843177,3.6676927,5.8762865,3.7476273,-0.06458434,2.1261096,1.8919406,Chinese,1
0.05154123176162203,0.041703936,2293.7895189947353,2982.863338274701,-364.55093,133.2704,2.479226,36.376316,13.082856,26.90822,14.908596,-10.87257,1.3363099,1.584282,-8.4388075,-2.2214305,-5.1532245,Chinese,1
0.079159165385549,0.022725346,4793.817502375361,6140.0998841383325,-374.08282,110.45373,32.62546,3.3549526,31.312399,8.571984,3.6938567,2.8911643,-0.1459357,-4.1282983,-0.53899854,2.3425908,2.5099735,Chinese,1
0.06149603040916785,0.04431886,2091.540000010945,1889.4426701366317,-356.7597,138.31847,-25.393421,15.4791765,17.090172,-6.3314667,-2.7813554,-5.493258,-5.155217,-3.2660642,2.814076,6.149777,-9.087372,Chinese,1
0.07207208435101187,0.0049932827,3414.635155043863,4082.0572168535964,-551.5738,74.4646,16.439089,27.400465,18.212145,4.154681,-0.89535934,-0.95069444,-11.091315,-8.427943,-4.683633,-11.846831,-12.012957,Chinese,0
0.1699457080268282,0.02856794,4255.467847441706,3355.8348150479637,-497.3762,90.067215,22.255978,9.819379,5.4212804,-7.281169,-13.152565,-11.947391,-0.9727565,4.964896,-1.7432281,-7.1327944,-9.9318905,Chinese,0
